Year,Startup Name,Industry,SubVertical Industry,City,Investor Name,Investment Type,Amount(in USD),cityNumber
2020,Slurrp Farm,Food & Bevarages,Slurrp Farm is a children health food brand.,Gurgaon,Fireside Ventures,Series A,2000000,6
2020,CoinDCX,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,Mumbai,"Coinbase Ventures, Polychain",Series B,10000000,4
2020,Arya,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Noida,Quona Capital,Series B,21000000,7
2020,WakeFit,Retail,Wakefitkart is a mattress manufacturing company,Bangalore,Sequoia Capital.,Series B,20000000,30
2020,PagarBook,Software company,"Staff's Salary, Work & Attendance Management Application",Bangalore,"Sequoia Capital, India Quotient",Series A,15000000,30
2020,Infinite Uptime,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Pune,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",Series B,5100000,11
2020,Loop Health,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,Pune,"Y Combinator, Sierra Ventures",Seed,2300000,11
2020,Atomberg Technologies,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",Mumbai,"Sandeep Tandon, Survam Partners",Series B,9000000,4
2020,Mihup,Conversational AI platform,Intelligence-based personal mobile assistant app,Kolkata,"Ideaspring Capital, Accel",Series A,1500000,34
2020,Infra.Market,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,Thane,"Trifecta Capital Advisors, Nexus Venture Partners",Series B,20000000,36
2020,Interviewbit,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,Pune,"Tiger Global Management, Sequoia Capital India, SingaporeвЂ™s Economic Development Board (EBD)",Series A,200000000,11
2020,MoneyTap,Fintech,App-based consumer credit line that gives customers access to credit on tap.,,"Aquiline Technology Growth (ATG), RTP Global, Sequoia India",Series B,70185200,37
2020,Samosa Singh,Food,Offers hygienic Indian Snacks,Bangalore,She Capital,Series A,2700000,30
2020,Skylo,IoT,Provides affordable and ever present network that connects machines or sensors,,SoftBank Group,Series B,103000000,37
2020,Kristal AI,AI,Provides Algorithm-based financial services,,Chiratae Ventures,Series A,6000000,37
2020,Wysh,E-connect,Celebrity engagement and wishing platform,Hyderabad,Kalaari Capital,Series A,2000000,13
